"query","search interest","increase percent"
"paper diy",100,"300 %"
"diy paper",93,"300 %"
"ideas diy",73,"-40 %"
"diy ideas",72,"-40 %"
"diy crochet",58,"190 %"
"diy crafts",57,"60 %"
"diy home",56,"70 %"
"manualidades diy",54,"-60 %"
"diy manualidades",54,"-60 %"
"manualidades",53,"-60 %"
"diy house",47,"30 %"
"diy bag",46,"120 %"
"papel diy",43,"30 %"
"easy diy",40,"20 %"
"diy box",40,"20 %"
"diy decor",40,"-60 %"
"christmas diy",37,"10 %"
"diy christmas",37,"10 %"
"diy navidad",37,"-30 %"
"diy projects",34,"200 %"
"diy wood",33,"30 %"
"top diy",32,"4 %"
"diy top",32,"4 %"
"handwork diy",32,"300 %"
"halloween diy",32,"-10 %"
"diy halloween",32,"-10 %"
"diy craft",31,"80 %"
"diy miniature",31,"20 %"
"diy ikea",30,"50 %"
"ikea diy",30,"50 %"
"diy bolso",27,"40 %"
"diy macrame",23,"140 %"
"macrame diy",22,"140 %"
"diy slime",20,"-80 %"
"slime diy",20,"-80 %"
"diy decoracion",19,"-60 %"
"decoracion diy",19,"-60 %"
"cnc diy",19,"10 %"
"diy cnc",19,"9 %"
"diy solar",19,"120 %"
"diy dress",18,"-1 %"
"fidget toys diy",17,"1.300 %"
"diy fidget toys",17,"1.100 %"
"fidget toys",17,"1.200 %"
"diy camper",17,"150 %"
"diy perks",17,"160 %"
"diy aesthetic",17,"120 %"
"micaela diy",16,"-30 %"
"diy desk",16,"8 %"
"cute diy",16,"-30 %"
